timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
36892000,0.0005245239,-0.0012300467,0.0,0.0,0.99999976,0.0002622619,-0.00061502325,1.6129721e-07,0.0,0.0,-0.60912454,0,0,0,0,0
36944000,0.000880764,-0.00094508496,0.0,0.0,0.99999976,0.0004403819,-0.00047254242,2.0809917e-07,0.0,0.0,-0.60916513,0,0,0,0,0
36991000,0.0008351375,-0.0010443587,0.0,0.0,0.99999976,0.00041756866,-0.0005221793,2.1804576e-07,0.0,0.0,-0.60898185,0,0,0,0,0
37039000,0.0008052398,-0.00081418164,0.0,0.0,0.9999998,0.0004026198,-0.00040709073,1.6390283e-07,0.0,0.0,-0.60932106,0,0,0,0,0
37087000,0.0007610541,-0.0007026237,0.0,0.0,0.9999998,0.00038052702,-0.00035131184,1.3368366e-07,0.0,0.0,-0.6093701,0,0,0,0,0
37139000,0.0010086297,-0.0011169799,0.0,0.0,0.9999997,0.0005043147,-0.0005584898,2.8165476e-07,0.0,0.0,-0.6089874,0,0,0,0,0
37188000,0.0014144159,-0.0009897781,0.0,0.0,0.99999964,0.00070720783,-0.0004948889,3.4998945e-07,0.0,0.0,-0.60882866,0,0,0,0,0
37238000,0.0015487064,-0.0008372284,0.0,0.0,0.9999996,0.00077435316,-0.0004186141,3.2415522e-07,0.0,0.0,-0.60871893,0,0,0,0,0
37291000,0.0012799182,-0.0012088228,0.0,0.0,0.99999964,0.00063995895,-0.00060441124,3.8679852e-07,0.0,0.0,-0.60906583,0,0,0,0,0
37343000,0.0015694314,-0.0012127634,0.0,0.0,0.9999995,0.0007847154,-0.0006063814,4.7583706e-07,0.0,0.0,-0.60902345,0,0,0,0,0
37391000,0.0017372195,-0.0012771982,0.0,0.0,0.9999994,0.00086860947,-0.00063859887,5.546933e-07,0.0,0.0,-0.609225,0,0,0,0,0
37439000,0.0018054642,-0.0014090822,0.0,0.0,0.99999934,0.0009027317,-0.0007045408,6.3601175e-07,0.0,0.0,-0.6094883,0,0,0,0,0
37493000,0.001865198,-0.0014573535,0.0,0.0,0.9999993,0.00093259854,-0.0007286764,6.795631e-07,0.0,0.0,-0.6095696,0,0,0,0,0
37540000,0.0017349129,-0.0009612414,0.0,0.0,0.9999995,0.00086745626,-0.0004806205,4.169175e-07,0.0,0.0,-0.6096682,0,0,0,0,0
37592000,0.0017230269,-0.0009823884,0.0,0.0,0.9999995,0.0008615132,-0.00049119396,4.2317032e-07,0.0,0.0,-0.60938185,0,0,0,0,0
37639000,0.0019927297,-0.00056618464,0.0,0.0,0.99999946,0.0009963646,-0.00028309217,2.8206318e-07,0.0,0.0,-0.6090469,0,0,0,0,0
37691000,0.0019798526,-0.0009837515,0.0,0.0,0.9999994,0.0009899259,-0.0004918755,4.869206e-07,0.0,0.0,-0.6094123,0,0,0,0,0
37737000,0.0020411778,-0.00091672625,0.0,0.0,0.9999994,0.0010205887,-0.00045836286,4.6780028e-07,0.0,0.0,-0.60949916,0,0,0,0,0
37794000,0.0018257112,6.811533e-05,0.0,0.0,0.9999996,0.00091285555,3.405765e-05,-3.108973e-08,0.0,0.0,-0.6089241,0,0,0,0,0
37843000,0.0022292556,0.00052500644,0.0,0.0,0.99999934,0.0011146275,0.00026250305,-2.925933e-07,0.0,0.0,-0.60915005,0,0,0,0,0
37888000,0.0024249388,0.0007463107,0.0,0.0,0.9999992,0.001212469,0.00037315508,-4.5243925e-07,0.0,0.0,-0.6089992,0,0,0,0,0
37939000,0.0003087395,-0.00015456139,-0.12575907,0.0,0.99802375,0.0001492085,-8.6828266e-05,-0.06283809,0.0,0.0,-0.60904056,0,0,0,0,0
37992000,-0.00043261112,0.0016712515,-0.09277234,0.7853982,0.998924,-0.00017732524,0.0008447567,-0.04636934,0.0,0.0,-0.5982008,0,0,0,0,0
38039000,-0.00046126283,0.0019290269,-0.047219247,0.7853982,0.9997208,-0.00020779735,0.00096968916,-0.023607198,0.0,0.0,-0.581155,0,0,0,0,0
38099000,-0.001706159,0.002455551,-0.00014468748,0.7828018,0.9999989,-0.0008529899,0.0012278362,-7.129627e-05,0.0,0.0,-0.5636436,0,0,0,0,0
38143000,-0.0039054616,0.0024669617,-0.00014468773,0.0,0.9999973,-0.001952639,0.0012336195,-6.993502e-05,0.0,0.0,-0.5531078,0,0,0,0,0
38192000,-0.006337933,0.002538051,-0.00014468773,0.0,0.99999416,-0.003168867,0.0012692481,-6.8321955e-05,0.0,0.0,-0.5529313,0,0,0,0,0
38240000,-0.0065367296,0.002573735,-0.00014468773,0.0,0.9999938,-0.003268263,0.0012870968,-6.813747e-05,0.0,0.0,-0.54740566,0,0,0,0,0
38292000,-0.0045234025,0.0027913335,-0.00014468774,0.0,0.9999965,-0.0022615965,0.0013958263,-6.918704e-05,0.0,0.0,-0.5519317,0,0,0,0,0
38343000,-0.0014110465,0.0034921165,-0.00014468773,0.0,0.9999982,-0.0007053958,0.0017461079,-7.1111856e-05,0.0,0.0,-0.5440032,0,0,0,0,0
38388000,0.0013606825,0.0038052928,-0.00014468773,0.0,0.999998,0.0006804776,0.0019025954,-7.363817e-05,0.0,0.0,-0.5584782,0,0,0,0,0
38453000,0.0041225394,0.0042206617,-0.00014468773,0.0,0.99999565,0.0020614164,0.0021101758,-7.669351e-05,0.0,0.0,-0.5903238,0,0,0,0,0
38493000,0.0050946805,0.0041757314,-0.00014468773,0.0,0.9999946,0.002547483,0.002087673,-7.766198e-05,0.0,0.0,-0.60692394,0,0,0,0,0
38545000,0.0049266694,0.0064167376,-0.00014468773,0.0,0.99999183,0.002463552,0.003208175,-8.0246544e-05,0.0,0.0,-0.6157964,0,0,0,0,0
38591000,0.004594603,0.0063280785,-0.00014468773,0.0,0.9999924,0.0022975167,0.0031638592,-7.961204e-05,0.0,0.0,-0.62665147,0,0,0,0,0
38639000,0.0044762213,0.0061659478,-0.00014468773,0.0,0.9999927,0.0022383211,0.0030827993,-7.924336e-05,0.0,0.0,-0.6311715,0,0,0,0,0
38692000,0.0050754473,0.0010868348,-0.00014468773,0.0,0.9999966,0.00253776,0.0005432321,-7.372267e-05,0.0,0.0,-0.6324811,0,0,0,0,0
38739000,0.0044620186,0.00048661858,-0.00014468774,0.0,0.9999975,0.002231025,0.00024314727,-7.288652e-05,0.0,0.0,-0.6319141,0,0,0,0,0
38788000,0.0037537087,0.00030918128,-0.00014468773,0.0,0.9999983,0.0018768646,0.0001544546,-7.263389e-05,0.0,0.0,-0.6315443,0,0,0,0,0
38839000,0.0026808192,-0.00029151578,-0.00014468773,0.0,0.9999991,0.0013403987,-0.00014585473,-7.2148425e-05,0.0,0.0,-0.6329815,0,0,0,0,0
38899000,0.001504905,-0.00091362116,-0.00014468774,0.0,0.99999964,0.0007524193,-0.00045686483,-7.200012e-05,0.0,0.0,-0.6256991,0,0,0,0,0
38948000,0.0009301082,-0.0011831636,-0.00014468773,0.0,0.9999997,0.00046501122,-0.0005916154,-7.206874e-05,0.0,0.0,-0.6047024,0,0,0,0,0
38992000,-0.00016836081,-0.0006696953,-0.00014468773,0.0,0.99999994,-8.420462e-05,-0.00033484155,-7.237205e-05,0.0,0.0,-0.5912142,0,0,0,0,0
39039000,-0.00035925338,-0.00076563226,-0.00014468773,0.0,0.99999994,-0.00017965438,-0.00038280315,-7.241262e-05,0.0,0.0,-0.5857442,0,0,0,0,0
39087000,-0.00086782465,-0.0007471163,-0.00014468773,0.0,0.9999998,-0.00043393933,-0.00037352674,-7.250595e-05,0.0,0.0,-0.58912975,0,0,0,0,0
39149000,-0.001643775,-0.0005274824,-0.00014468773,0.0,0.99999964,-0.00082190643,-0.00026368166,-7.256061e-05,0.0,0.0,-0.5964919,0,0,0,0,0
39191000,-0.0017234995,9.8906814e-05,-0.00014468773,0.0,0.99999964,-0.0008617461,4.951573e-05,-7.230122e-05,0.0,0.0,-0.6017788,0,0,0,0,0
39236000,-0.0018166917,0.00019363053,-0.00014468774,0.0,0.9999996,-0.00090833864,9.688093e-05,-7.2255905e-05,0.0,0.0,-0.60669744,0,0,0,0,0
39288000,-0.002061965,-0.00019959186,-0.00014468773,0.0,0.99999946,-0.0010309896,-9.972129e-05,-7.2446725e-05,0.0,0.0,-0.6080077,0,0,0,0,0
39340000,-0.0019705773,-0.00022524048,-0.00014468773,0.0,0.9999995,-0.0009852966,-0.0001125489,-7.245479e-05,0.0,0.0,-0.6070455,0,0,0,0,0
39387000,-0.0023183343,-0.00076537405,-0.00014468771,0.0,0.9999993,-0.0011591943,-0.00038260288,-7.278741e-05,0.0,0.0,-0.6082049,0,0,0,0,0
39448000,0.0055838074,-0.00080627174,-0.00014468773,0.0,0.999996,0.002791871,-0.00040333625,-7.121807e-05,0.0,0.0,-0.4440883,0,0,0,0,0
39491000,0.0038813702,-0.0011254627,-0.00014468773,0.0,0.999998,0.0019406427,-0.00056287064,-7.1251634e-05,0.0,0.0,-0.43697798,0,0,0,0,0
39543000,0.0025239307,-0.0014469433,-0.00014468771,0.0,0.9999989,0.0012619123,-0.00072356226,-7.14308e-05,0.0,0.0,-0.41916287,0,0,0,0,0
39592000,0.00234911,-0.0019746462,-0.00014468773,0.0,0.99999887,0.0011744829,-0.0009874073,-7.118413e-05,0.0,0.0,-0.40580565,0,0,0,0,0
39639000,0.0020175125,-0.0025337876,-0.00014468773,0.0,0.9999987,0.0010086637,-0.0012669658,-7.1065784e-05,0.0,0.0,-0.38947865,0,0,0,0,0
39692000,0.0021487484,-0.0026128518,-0.00014468773,0.0,0.99999857,0.0010742784,-0.0013065024,-7.094018e-05,0.0,0.0,-0.37619552,0,0,0,0,0
39740000,0.002423997,-0.002645538,-0.00014468773,0.0,0.9999984,0.0012119013,-0.0013228554,-7.0740556e-05,0.0,0.0,-0.35829958,0,0,0,0,0
39792000,0.0028133162,-0.0026431903,-0.00014468771,0.0,0.99999815,0.0014065608,-0.0013216953,-7.048469e-05,0.0,0.0,-0.34318945,0,0,0,0,0
39839000,0.0027906778,-0.0028402454,-0.00014468773,0.0,0.99999803,0.0013952344,-0.0014202219,-7.036218e-05,0.0,0.0,-0.3331686,0,0,0,0,0
39887000,0.0030966839,-0.0031180964,-0.00014468773,0.0,0.9999976,0.0015482267,-0.0015591576,-6.992976e-05,0.0,0.0,-0.32708922,0,0,0,0,0
39939000,0.0034062127,-0.0034470346,-0.00014468773,0.0,0.9999971,0.0017029783,-0.0017236371,-6.940833e-05,0.0,0.0,-0.32119268,0,0,0,0,0
39991000,0.003535478,-0.0035235265,-0.00014468774,0.0,0.9999969,0.0017676079,-0.0017618876,-6.92293e-05,0.0,0.0,-0.31465033,0,0,0,0,0
40043000,0.0033599443,-0.00369129,-0.00014468773,0.0,0.9999969,0.0016798348,-0.0018457627,-6.924301e-05,0.0,0.0,-0.3083464,0,0,0,0,0
40091000,0.0035397469,-0.0034852,-0.00014468773,0.0,0.9999969,0.0017697436,-0.0017427243,-6.925947e-05,0.0,0.0,-0.30193776,0,0,0,0,0
40139000,0.0033059695,-0.0031891507,-0.00014468773,0.0,0.9999974,0.0016528665,-0.001594692,-6.970787e-05,0.0,0.0,-0.29662964,0,0,0,0,0
40184000,0.003225206,-0.0028417504,-0.00014468773,0.0,0.99999774,0.0016124977,-0.0014209895,-7.0052396e-05,0.0,0.0,-0.29185802,0,0,0,0,0
40237000,0.0032155034,-0.0025198972,-0.00014468773,0.0,0.9999979,0.0016076588,-0.001260063,-7.031804e-05,0.0,0.0,-0.28574443,0,0,0,0,0
40287000,0.003102398,-0.0026353872,-0.00014468774,0.0,0.9999979,0.0015511018,-0.001317804,-7.029973e-05,0.0,0.0,-0.2795502,0,0,0,0,0
40340000,0.0029300526,-0.0024652735,-0.00014468774,0.0,0.9999982,0.0014649355,-0.001232741,-7.05379e-05,0.0,0.0,-0.27323163,0,0,0,0,0
40388000,0.0027535749,-0.0023517818,-0.00014468773,0.0,0.9999984,0.0013767009,-0.0011759892,-7.07248e-05,0.0,0.0,-0.26757726,0,0,0,0,0
40453000,0.0025097467,-0.0023202815,-0.00014468773,0.0,0.99999857,0.0012547881,-0.0011602303,-7.088794e-05,0.0,0.0,-0.26017594,0,0,0,0,0
40491000,0.0024209034,-0.0024128328,-0.00014468773,0.0,0.99999857,0.0012103631,-0.0012065027,-7.0883456e-05,0.0,0.0,-0.2543059,0,0,0,0,0
40540000,0.0018278232,-0.0021276479,-0.00014468774,0.0,0.999999,0.000913834,-0.0010638896,-7.137156e-05,0.0,0.0,-0.24835005,0,0,0,0,0
40592000,0.0015478629,-0.0016158329,-0.00014468773,0.0,0.9999994,0.0007738727,-0.00080797204,-7.171856e-05,0.0,0.0,-0.24247076,0,0,0,0,0
40641000,0.0009847753,-0.0018225682,-0.00014468774,0.0,0.99999946,0.0004923215,-0.00091131957,-7.1895134e-05,0.0,0.0,-0.23682174,0,0,0,0,0
40696000,0.0011313193,-0.0015542223,-0.00014468773,0.0,0.9999995,0.0005656032,-0.00077715184,-7.190425e-05,0.0,0.0,-0.2307751,0,0,0,0,0
40743000,0.0009694628,-0.0012504152,-0.00014468774,0.0,0.9999997,0.00048468605,-0.0006252426,-7.20408e-05,0.0,0.0,-0.22493257,0,0,0,0,0
40788000,-0.0,-0.0,-0.012224628,0.0,0.99998134,-0.0,0.0,-0.0061122766,0.0,0.0,-0.12,0,0,0,0,0
40836000,-0.0,-0.0,-0.012184428,0.0,0.99998146,-0.0,0.0,-0.0060921763,0.0,0.0,-0.12,0,0,0,0,0
40891000,-0.0,-0.0,-0.01216348,0.0,0.9999815,-0.0,0.0,-0.006081702,0.0,0.0,-0.12,0,0,0,0,0
40937000,-0.0,-0.0,-0.012160779,0.0,0.9999815,-0.0,0.0,-0.0060803527,0.0,0.0,-0.12,0,0,0,0,0
40992000,-0.0,-0.0,-0.012163385,0.0,0.9999815,-0.0,0.0,-0.0060816547,0.0,0.0,-0.12,0,0,0,0,0
41043000,-0.0,-0.0,-0.012179784,0.0,0.99998146,-0.0,0.0,-0.0060898545,0.0,0.0,-0.12,0,0,0,0,0
41088000,-0.0,-0.0,-0.012183865,0.0,0.99998146,-0.0,0.0,-0.0060918946,0.0,0.0,-0.12,0,0,0,0,0
41148000,-0.0,-0.0,-0.012207109,0.0,0.99998134,-0.0,0.0,-0.0061035166,0.0,0.0,-0.12,0,0,0,0,0
41188000,-0.0,-0.0,-0.012213999,0.0,0.99998134,-0.0,0.0,-0.006106962,0.0,0.0,-0.12,0,0,0,0,0
41237000,-0.0,-0.0,-0.012220971,0.0,0.99998134,-0.0,0.0,-0.006110448,0.0,0.0,-0.12,0,0,0,0,0
41291000,-0.0,-0.0,-0.012245581,0.0,0.9999812,-0.0,0.0,-0.0061227526,0.0,0.0,-0.12,0,0,0,0,0
41351000,-0.0,-0.0,-0.012245248,0.0,0.9999812,-0.0,0.0,-0.0061225863,0.0,0.0,-0.12,0,0,0,0,0
41397000,-0.0,-0.0,-0.012242432,0.0,0.9999813,-0.0,0.0,-0.0061211777,0.0,0.0,-0.12,0,0,0,0,0
41439000,-0.0,-0.0,-0.012242653,0.0,0.9999813,-0.0,0.0,-0.0061212885,0.0,0.0,-0.12,0,0,0,0,0
41488000,-0.0,-0.0,-0.012235409,0.0,0.9999813,-0.0,0.0,-0.006117666,0.0,0.0,-0.001,0,0,0,0,0
41543000,-0.0,-0.0,-0.01226303,0.0,0.9999812,-0.0,0.0,-0.0061314767,0.0,0.0,-0.001,0,0,0,0,0
41597000,-0.0,-0.0,-0.012250227,0.0,0.9999812,-0.0,0.0,-0.0061250757,0.0,0.0,-0.001,0,0,0,0,0
41648000,-0.0,-0.0,-0.012257417,0.0,0.9999812,-0.0,0.0,-0.0061286706,0.0,0.0,-0.001,0,0,0,0,0
41696000,-0.0,-0.0,-0.012259189,0.0,0.9999812,-0.0,0.0,-0.006129557,0.0,0.0,-0.001,0,0,0,0,0
41736000,-0.0,-0.0,-0.0122536775,0.0,0.9999812,-0.0,0.0,-0.0061268015,0.0,0.0,-0.001,0,0,0,0,0
41795000,-0.0,-0.0,-0.01226541,0.0,0.99998116,-0.0,0.0,-0.0061326665,0.0,0.0,-0.001,0,0,0,0,0
41844000,-0.0,-0.0,-0.012247805,0.0,0.9999812,-0.0,0.0,-0.006123865,0.0,0.0,-0.001,0,0,0,0,0
41892000,-0.0,-0.0,-0.012254232,0.0,0.9999812,-0.0,0.0,-0.0061270786,0.0,0.0,-0.001,0,0,0,0,0
41943000,-0.0,-0.0,-0.012246403,0.0,0.9999812,-0.0,0.0,-0.0061231637,0.0,0.0,-0.001,0,0,0,0,0
41992000,-0.0,-0.0,-0.0122470725,0.0,0.9999812,-0.0,0.0,-0.006123499,0.0,0.0,-0.001,0,0,0,0,0
42048000,-0.0,-0.0,-0.012242247,0.0,0.9999813,-0.0,0.0,-0.0061210855,0.0,0.0,-0.001,0,0,0,0,0
42093000,-0.0,-0.0,-0.012250013,0.0,0.9999812,-0.0,0.0,-0.0061249686,0.0,0.0,-0.001,0,0,0,0,0
42136000,-0.0,-0.0,-0.012243435,0.0,0.9999813,-0.0,0.0,-0.006121679,0.0,0.0,-0.001,0,0,0,0,0
42193000,-0.0,-0.0,-0.012259539,0.0,0.9999812,-0.0,0.0,-0.0061297324,0.0,0.0,-0.001,0,0,0,0,0
42237000,-0.0,-0.0,-0.012247245,0.0,0.9999812,-0.0,0.0,-0.006123585,0.0,0.0,-0.001,0,0,0,0,0
42291000,-0.0,-0.0,-0.012217069,0.0,0.99998134,-0.0,0.0,-0.0061084973,0.0,0.0,-0.001,0,0,0,0,0
42343000,-0.0,-0.0,-0.012188254,0.0,0.9999814,-0.0,0.0,-0.0060940892,0.0,0.0,-0.001,0,0,0,0,0
42391000,-0.0,-0.0,-0.012185453,0.0,0.99998146,-0.0,0.0,-0.00609269,0.0,0.0,-0.001,0,0,0,0,0
42452000,-0.0,-0.0,-0.012205552,0.0,0.9999814,-0.0,0.0,-0.006102739,0.0,0.0,-0.001,0,0,0,0,0
42496000,-0.0,-0.0,-0.012209091,0.0,0.99998134,-0.0,0.0,-0.006104508,0.0,0.0,-0.001,0,0,0,0,0
42544000,-0.0,-0.0,-0.012196247,0.0,0.9999814,-0.0,0.0,-0.006098086,0.0,0.0,-0.001,0,0,0,0,0
42591000,-0.0,-0.0,-0.012198687,0.0,0.9999814,-0.0,0.0,-0.006099306,0.0,0.0,-0.001,0,0,0,0,0
42637000,-0.0,-0.0,-0.012197717,0.0,0.9999814,-0.0,0.0,-0.0060988213,0.0,0.0,-0.001,0,0,0,0,0
42693000,-0.0,-0.0,-0.012192032,0.0,0.9999814,-0.0,0.0,-0.0060959784,0.0,0.0,-0.001,0,0,0,0,0
42752000,-0.0,-0.0,-0.0121942805,0.0,0.9999814,-0.0,0.0,-0.0060971025,0.0,0.0,-0.001,0,0,0,0,0
42788000,-0.0,-0.0,-0.012192542,0.0,0.9999814,-0.0,0.0,-0.006096233,0.0,0.0,-0.001,0,0,0,0,0
42837000,-0.0,-0.0,-0.01218499,0.0,0.99998146,-0.0,0.0,-0.0060924576,0.0,0.0,-0.001,0,0,0,0,0
42893000,-0.0,-0.0,-0.012189015,0.0,0.9999814,-0.0,0.0,-0.0060944697,0.0,0.0,-0.001,0,0,0,0,0
42937000,-0.0,-0.0,-0.012200556,0.0,0.9999814,-0.0,0.0,-0.0061002406,0.0,0.0,-0.001,0,0,0,0,0
42988000,-0.0,-0.0,-0.012217607,0.0,0.99998134,-0.0,0.0,-0.0061087664,0.0,0.0,-0.001,0,0,0,0,0
43037000,-0.0,-0.0,-0.012250446,0.0,0.9999812,-0.0,0.0,-0.006125185,0.0,0.0,-0.001,0,0,0,0,0
43091000,-0.0,-0.0,-0.012275743,0.0,0.99998116,-0.0,0.0,-0.006137833,0.0,0.0,-0.001,0,0,0,0,0
43128000,-0.0,-0.0,-0.012278339,0.0,0.99998116,-0.0,0.0,-0.0061391313,0.0,0.0,-0.001,0,0,0,0,0
43192000,-0.0,-0.0,-0.012279432,0.0,0.99998116,-0.0,0.0,-0.0061396775,0.0,0.0,-0.001,0,0,0,0,0
43241000,-0.0,-0.0,-0.012285035,0.0,0.9999811,-0.0,0.0,-0.00614248,0.0,0.0,-0.001,0,0,0,0,0
43288000,-0.0,-0.0,-0.012278659,0.0,0.99998116,-0.0,0.0,-0.0061392915,0.0,0.0,-0.001,0,0,0,0,0
43344000,-0.0,-0.0,-0.012263228,0.0,0.9999812,-0.0,0.0,-0.0061315764,0.0,0.0,-0.001,0,0,0,0,0
43396000,-0.0,-0.0,-0.012256479,0.0,0.9999812,-0.0,0.0,-0.0061282017,0.0,0.0,-0.001,0,0,0,0,0
43441000,-0.0,-0.0,-0.012247022,0.0,0.9999812,-0.0,0.0,-0.006123474,0.0,0.0,-0.001,0,0,0,0,0
43492000,-0.0,-0.0,-0.0122318175,0.0,0.9999813,-0.0,0.0,-0.0061158706,0.0,0.0,-0.001,0,0,0,0,0
43543000,-0.0,-0.0,-0.012239008,0.0,0.9999813,-0.0,0.0,-0.0061194664,0.0,0.0,-0.001,0,0,0,0,0
43588000,-0.0,-0.0,-0.012216336,0.0,0.99998134,-0.0,0.0,-0.0061081303,0.0,0.0,-0.001,0,0,0,0,0
43641000,-0.0,-0.0,-0.012224386,0.0,0.99998134,-0.0,0.0,-0.006112156,0.0,0.0,-0.001,0,0,0,0,0
43695000,-0.0,-0.0,-0.012218612,0.0,0.99998134,-0.0,0.0,-0.006109269,0.0,0.0,-0.001,0,0,0,0,0
43739000,-0.0,-0.0,-0.0121864565,0.0,0.99998146,-0.0,0.0,-0.0060931914,0.0,0.0,-0.001,0,0,0,0,0
43791000,-0.0,-0.0,-0.012166694,0.0,0.9999815,-0.0,0.0,-0.0060833097,0.0,0.0,-0.001,0,0,0,0,0
43839000,-0.0,-0.0,-0.012165523,0.0,0.9999815,-0.0,0.0,-0.006082724,0.0,0.0,-0.001,0,0,0,0,0
43892000,-0.0,-0.0,-0.012142562,0.0,0.9999816,-0.0,0.0,-0.0060712444,0.0,0.0,-0.001,0,0,0,0,0
43945000,-0.0,-0.0,-0.012134424,0.0,0.9999816,-0.0,0.0,-0.006067176,0.0,0.0,-0.001,0,0,0,0,0
43991000,-0.0,-0.0,-0.012119997,0.0,0.99998164,-0.0,0.0,-0.0060599614,0.0,0.0,-0.001,0,0,0,0,0
44043000,-0.0,-0.0,-0.012102251,0.0,0.9999817,-0.0,0.0,-0.0060510896,0.0,0.0,-0.001,0,0,0,0,0
44087000,-0.0,-0.0,-0.012092755,0.0,0.99998176,-0.0,0.0,-0.0060463413,0.0,0.0,-0.001,0,0,0,0,0
44140000,-0.0,-0.0,-0.012078302,0.0,0.99998176,-0.0,0.0,-0.006039115,0.0,0.0,-0.001,0,0,0,0,0
44188000,-0.0,-0.0,-0.012069959,0.0,0.99998176,-0.0,0.0,-0.006034943,0.0,0.0,-0.001,0,0,0,0,0
44240000,-0.0,-0.0,-0.012082173,0.0,0.99998176,-0.0,0.0,-0.00604105,0.0,0.0,-0.001,0,0,0,0,0
44293000,-0.0,-0.0,-0.012094278,0.0,0.9999817,-0.0,0.0,-0.006047102,0.0,0.0,-0.001,0,0,0,0,0
44343000,-0.0,-0.0,-0.012096321,0.0,0.9999817,-0.0,0.0,-0.0060481243,0.0,0.0,-0.001,0,0,0,0,0
44392000,-0.0,-0.0,-0.012098397,0.0,0.9999817,-0.0,0.0,-0.006049162,0.0,0.0,-0.001,0,0,0,0,0
44443000,-0.0,-0.0,-0.012123573,0.0,0.99998164,-0.0,0.0,-0.006061749,0.0,0.0,-0.001,0,0,0,0,0
